timestep,episode,reward,estimated_team_reward,coverage_ratio,threat_level_avg,exploration_score,loss,timestamp
27750,17,9328.679592110502,46643.39796055251,0.6825,0.541425,273.0,4071.833251953125,2025-12-22T00:28:39.398496Z
28000,17,9328.679592110502,46643.39796055251,0.8275,0.5459,331.0,4071.833251953125,2025-12-22T00:28:40.197142Z
28250,17,9328.679592110502,46643.39796055251,0.8775,0.5355500000000001,351.0,4071.833251953125,2025-12-22T00:28:40.844033Z
28500,17,9328.679592110502,46643.39796055251,0.93,0.41820000000000007,372.0,4071.833251953125,2025-12-22T00:28:41.493383Z
28750,17,9328.679592110502,46643.39796055251,0.9525,0.5465500000000001,381.0,3488.830810546875,2025-12-22T00:28:43.731039Z
29000,18,9460.719635348029,47303.59817674014,0.3275,0.48307500000000003,131.0,3488.830810546875,2025-12-22T00:28:44.410871Z
29250,18,9460.719635348029,47303.59817674014,0.7175,0.48915000000000014,287.0,3488.830810546875,2025-12-22T00:28:45.065140Z
29500,18,9460.719635348029,47303.59817674014,0.8575,0.4908500000000002,343.0,3488.830810546875,2025-12-22T00:28:45.714007Z
29750,18,9460.719635348029,47303.59817674014,0.9225,0.43315000000000003,369.0,3488.830810546875,2025-12-22T00:28:46.358320Z
30000,18,9460.719635348029,47303.59817674014,0.9325,0.6139500000000001,373.0,3488.830810546875,2025-12-22T00:28:47.158205Z
30250,18,9460.719635348029,47303.59817674014,0.94,0.49065000000000003,376.0,3488.830810546875,2025-12-22T00:28:47.793459Z
30500,19,9567.056933725189,47835.28466862594,0.2425,0.5870500000000001,97.0,3488.830810546875,2025-12-22T00:28:48.460566Z
30750,19,9567.056933725189,47835.28466862594,0.5625,0.52305,225.0,3179.8203125,2025-12-22T00:28:50.768619Z
31000,19,9567.056933725189,47835.28466862594,0.78,0.6115,312.0,3179.8203125,2025-12-22T00:28:51.483014Z
31250,19,9567.056933725189,47835.28466862594,0.8625,0.5265250000000001,345.0,3179.8203125,2025-12-22T00:28:52.179733Z
31500,19,9567.056933725189,47835.28466862594,0.9075,0.5138000000000001,363.0,3179.8203125,2025-12-22T00:28:52.823647Z
31750,19,9567.056933725189,47835.28466862594,0.9375,0.54695,375.0,3179.8203125,2025-12-22T00:28:53.491741Z
32000,20,9641.227410518268,48206.13705259134,0.9775,0.6114250000000001,391.0,3179.8203125,2025-12-22T00:28:54.317971Z
32250,20,9641.227410518268,48206.13705259134,0.43,0.4333000000000001,172.0,3179.8203125,2025-12-22T00:28:54.971622Z
32500,20,9641.227410518268,48206.13705259134,0.6875,0.50285,275.0,3179.8203125,2025-12-22T00:28:55.614001Z
32750,20,9641.227410518268,48206.13705259134,0.7875,0.5511250000000001,315.0,3179.8203125,2025-12-22T00:28:56.286899Z
33000,20,9641.227410518268,48206.13705259134,0.8475,0.5534500000000001,339.0,2980.196044921875,2025-12-22T00:28:58.516156Z
33250,20,9641.227410518268,48206.13705259134,0.905,0.48727500000000007,362.0,2980.196044921875,2025-12-22T00:28:59.195634Z
33500,20,9641.227410518268,48206.13705259134,0.955,0.4899000000000001,382.0,2980.196044921875,2025-12-22T00:28:59.844442Z
33750,21,9725.440555349103,48627.202776745515,0.3325,0.4796000000000001,133.0,2980.196044921875,2025-12-22T00:29:00.505774Z
