timestep,mean_reward,coverage_ratio,average_threat_level
81500,259184.52046665212,0.25,0.0
81750,260545.4204666539,0.25,0.0
82000,263247.45379998663,0.25,0.0
82250,264295.94795832015,0.345,0.0
82500,265202.2146249813,0.345,0.0
82750,266102.21462497546,0.345,0.0
83000,267002.21462496964,0.345,0.0
83250,267063.8294791411,0.11,0.0
83500,267038.8294791469,0.11,0.0
83750,267013.82947915274,0.11,0.0
84000,266988.82947915856,0.11,0.0
84250,267812.84025999194,0.3,0.0
84500,268837.0402599916,0.3,0.0
84750,271007.67359332077,0.3,0.0
85000,274396.0069266558,0.3,0.0
85250,274822.60510914953,0.065,0.0
85500,275226.7717758094,0.065,0.0
85750,276065.205109142,0.065,0.0
86000,277294.3717758135,0.065,0.0
86250,278176.96993581415,0.3,0.0
86500,279351.96993581706,0.3,0.0
86750,280526.96993582,0.3,0.0
87000,283243.70326915063,0.3,0.0
87250,283731.8347474873,0.1575,0.0
87500,284531.8347474902,0.1575,0.0
87750,285331.8347474931,0.1575,0.0
88000,286131.834747496,0.1575,0.0
88250,287184.94956916204,0.36,0.0
88500,287326.2829024925,0.375,0.0
88750,287611.149569156,0.375,0.0
89000,289126.91623582545,0.375,0.0
89250,289179.1644058303,0.12,0.0
89500,289154.16440583614,0.12,0.0
89750,289129.16440584196,0.12,0.0
90000,289104.1644058478,0.12,0.0
90250,289728.5018083467,0.28,0.0
90500,289803.5018083438,0.28,0.0
90750,289878.5018083409,0.28,0.0
91000,289953.501808338,0.28,0.0
91250,291199.97150667105,0.3425,0.0
91500,292145.50483999896,0.3425,0.0
91750,293045.50483999314,0.3425,0.0
92000,293945.5048399873,0.3425,0.0
92250,294021.88434499217,0.1175,0.0
92500,293996.884344998,0.1175,0.0
92750,293971.8843450038,0.1175,0.0
93000,293946.88434500963,0.1175,0.0
93250,294842.8247783418,0.2225,0.0
93500,295482.59144500684,0.2225,0.0
93750,296667.758111679,0.2225,0.0
94000,298989.6247783471,0.2225,0.0
94250,300181.40290168236,0.21,0.0
94500,301906.4029016882,0.21,0.0
94750,303722.4695683601,0.21,0.0
95000,306272.469568363,0.21,0.0
95250,306312.39876253484,0.0875,0.0
95500,306287.39876254066,0.0875,0.0
95750,306686.7654292114,0.0875,0.0
96000,308102.5320958785,0.0875,0.0
96250,309065.36230837944,0.32,0.0
96500,310445.1123083803,0.555,0.0
96750,310520.1123083774,0.555,0.0
97000,310686.1789750413,0.555,0.0
97250,311325.6414525419,0.1675,0.0
97500,313082.0414525408,0.1675,0.0
97750,315602.7081192051,0.1675,0.0
98000,319198.5414525452,0.1675,0.0
98250,319434.9729608749,0.15,0.0
98500,319459.9729608691,0.15,0.0
98750,319484.97296086326,0.15,0.0
99000,319898.0396275295,0.15,0.0
99250,320668.4000158629,0.295,0.0
99500,320743.40001586,0.295,0.0
99750,320818.40001585707,0.295,0.0
100000,320893.40001585416,0.295,0.0
