timestep,mean_reward,episode_length,coverage_ratio,average_threat_level,average_battery,elapsed_time
79500,1787.4327583333302,1000,0.0575,0.0,99.0006666666619,2975.9665896892548
79750,3910.531498333333,1000,0.06,0.0,99.00199999999523,2985.3383474349976
80000,4417.6650125,1000,0.0775,0.0,99.00133333332856,2994.7339923381805
80250,1453.7481800000196,1000,0.08,0.0,99.00199999999523,3004.040579557419
80500,4469.516083333352,1000,0.0825,0.0,99.0006666666619,3013.426959514618
80750,8416.946275000015,1000,0.055,0.0,99.00366666666191,3022.7678983211517
81000,2684.6315733333045,1000,0.0475,0.0,99.00199999999523,3032.1161184310913
81250,6611.899408333246,1000,0.04,0.0,99.0006666666619,3041.527227640152
81500,6634.747104166667,1000,0.0775,0.0,99.00266666666191,3050.844754934311
81750,1523.9327333333408,1000,0.0475,0.0,99.0006666666619,3060.15398478508
82000,7006.033333333282,1000,0.03,0.0,98.99999999999523,3069.5155696868896
82250,4869.76666666664,1000,0.0375,0.0,98.99999999999523,3078.9083273410797
82500,7345.999437499877,1000,0.07,0.0,99.0006666666619,3088.281928539276
82750,1323.332765833322,1000,0.13,0.0,99.0006666666619,3097.668936729431
83000,4326.265488333407,1000,0.065,0.0,99.00133333332856,3107.1102645397186
83250,1381.6821599999769,1000,0.05,0.0,99.00133333332856,3116.4738354682922
83500,3659.4327700000163,1000,0.075,0.0,99.0006666666619,3125.8642976284027
83750,7574.813710833229,1000,0.035,0.0,99.00266666666191,3135.2427246570587
84000,1104.566091666686,1000,0.0925,0.0,99.0006666666619,3144.5882439613342
84250,1164.3976308333229,1000,0.09,0.0,99.00199999999523,3153.979199886322
84500,5373.399435833366,1000,0.1125,0.0,99.0006666666619,3163.35511136055
84750,1308.3988066666554,1000,0.0975,0.0,99.00133333332856,3172.666720867157
85000,1396.3994399999758,1000,0.0775,0.0,99.0006666666619,3181.979892015457
85250,2426.982751666675,1000,0.06,0.0,99.0006666666619,3191.298043012619
85500,3978.7666666666128,1000,0.0875,0.0,98.99999999999523,3200.4286046028137
85750,9511.10000000005,1000,0.0675,0.0,98.99999999999523,3209.8147583007812
86000,6876.630412500036,1000,0.0775,0.0,99.00266666666191,3219.226149082184
86250,1922.6999999999698,1000,0.0725,0.0,98.99999999999523,3228.6543865203857
86500,7019.366666666627,1000,0.0975,0.0,98.99999999999523,3238.015706062317
86750,4756.566666666671,1000,0.1175,0.0,98.99999999999523,3247.4106595516205
87000,6268.533333333424,1000,0.12,0.0,98.99999999999523,3256.832491159439
87250,4666.76484166669,1000,0.0875,0.0,99.00199999999523,3265.8736600875854
87500,3226.512716666647,1000,0.045,0.0,99.00466666666192,3275.204556941986
87750,7694.016099999956,1000,0.0575,0.0,99.0006666666619,3284.586054086685
