timestep,episode,reward,coverage_ratio,threat_level_avg,visited_cells
136250,35,2624.7981225000112,0.0725,0.9675,0
136500,35,5913.198122500003,0.0725,0.9675,0
136750,35,11175.69812249992,0.0725,0.9675,0
137000,35,16438.19812249974,0.0725,0.9675,0
137250,35,22310.498122499634,0.0725,0.9675,0
137500,35,30047.998122499816,0.0725,0.9675,0
137750,35,37785.498122499404,0.0725,0.9675,0
138000,35,45522.99812249868,0.0725,0.9675,0
138250,35,53260.49812249795,0.0725,0.9675,0
138500,35,60997.99812249722,0.0725,0.9675,0
138750,35,68735.4981224965,0.0725,0.9675,0
139000,35,76904.59812249607,0.0725,0.9675,0
139250,35,87117.09812249753,0.0725,0.9675,0
139500,35,97329.59812249898,0.0725,0.9675,0
139750,35,109428.99812249938,0.0725,0.9675,0
140000,35,122116.49812249938,0.0725,0.9675,0
140250,36,1249.598105,0.165,0.9425,0
140500,36,1812.098105,0.165,0.9425,0
140750,36,2374.598105,0.165,0.9425,0
141000,36,5210.098104999978,0.165,0.9425,0
141250,36,9698.8981049999,0.165,0.9425,0
141500,36,15211.398104999718,0.165,0.9425,0
141750,36,20987.198104999563,0.165,0.9425,0
142000,36,28974.698104999745,0.165,0.9425,0
142250,36,36962.19810499945,0.165,0.9425,0
142500,36,44949.69810499872,0.165,0.9425,0
142750,36,52937.198104997995,0.165,0.9425,0
143000,36,60924.69810499727,0.165,0.9425,0
143250,36,69967.49810499739,0.165,0.9425,0
143500,36,80429.99810499884,0.165,0.9425,0
143750,36,90892.4981050003,0.165,0.9425,0
144000,36,101354.99810500175,0.165,0.9425,0
144250,37,2609.998122500013,0.14,0.9675,0
144500,37,5397.498122499983,0.14,0.9675,0
